,Blinkroot Seed,Daybloom Seed,Deathweed Seed,Fireblossom Seed,Moonglow Seed,Shiverthorn Seed,Waterleaf Seed
Herb_Bag_1,18,25,24,36,17,6,15
Herb_Bag_2,14,22,21,11,17,30,10
Herb_Bag_3,22,21,10,13,11,19,12
Herb_Bag_4,31,14,15,6,3,19,12
Herb_Bag_5,24,40,23,16,6,22,17
Herb_Bag_6,13,6,24,35,8,15,27
Herb_Bag_7,11,19,21,32,14,24,19
Herb_Bag_8,11,11,15,20,9,21,11
Herb_Bag_9,11,26,28,26,13,24,11
Herb_Bag_10,17,15,20,27,14,22,15
Herb_Bag_11,14,33,14,26,20,20,17
Herb_Bag_12,14,15,22,22,5,17,17
Herb_Bag_13,26,20,22,16,15,7,0
Herb_Bag_14,19,38,23,0,13,24,12
Herb_Bag_15,17,25,20,32,11,11,5
Herb_Bag_16,17,5,7,0,7,16,18
Herb_Bag_17,14,23,26,38,9,14,14
Herb_Bag_18,16,20,21,8,6,11,8
Herb_Bag_19,18,38,19,27,12,21,6
Herb_Bag_20,26,13,30,6,9,21,11
Herb_Bag_21,25,20,25,20,16,19,17
Herb_Bag_22,16,22,20,0,14,12,17
Herb_Bag_23,12,15,29,23,15,10,20
Herb_Bag_24,21,28,27,30,9,20,8
Herb_Bag_25,25,34,15,34,19,25,17
Herb_Bag_26,5,12,17,29,1,25,6
Herb_Bag_27,24,21,10,34,12,16,22
Herb_Bag_28,17,40,10,0,0,15,10
Herb_Bag_29,12,15,16,28,12,30,19
Herb_Bag_30,24,23,18,52,13,17,0
Herb_Bag_31,29,17,25,18,12,17,17
Herb_Bag_32,21,24,21,9,13,24,22
Herb_Bag_33,26,14,27,23,5,26,9
Herb_Bag_34,32,18,27,13,6,18,12
Herb_Bag_35,26,24,14,0,7,14,13
Herb_Bag_36,17,7,15,11,12,22,8
Herb_Bag_37,31,13,16,14,9,8,16
Herb_Bag_38,19,35,7,0,15,22,25
Herb_Bag_39,24,23,24,28,11,32,10
Herb_Bag_40,22,31,22,13,14,17,12
Herb_Bag_41,10,9,22,7,21,12,10
Herb_Bag_42,23,17,13,22,7,27,16
Herb_Bag_43,15,19,26,34,6,3,25
Herb_Bag_44,12,31,9,28,7,22,17
Herb_Bag_45,22,8,16,36,5,30,14
Herb_Bag_46,19,33,23,47,11,18,15
Herb_Bag_47,24,12,13,18,3,29,15
Herb_Bag_48,11,27,16,34,13,24,7
Herb_Bag_49,13,20,11,16,8,21,13
Herb_Bag_50,23,39,27,17,17,22,10
Herb_Bag_51,22,10,20,43,7,35,21
Herb_Bag_52,18,2,22,0,8,26,11
Herb_Bag_53,34,14,25,20,7,21,5
Herb_Bag_54,29,24,20,23,9,6,17
Herb_Bag_55,31,30,18,34,9,26,12
Herb_Bag_56,13,24,18,19,10,14,10
Herb_Bag_57,21,13,20,6,2,17,18
Herb_Bag_58,38,23,24,10,18,12,11
Herb_Bag_59,19,21,17,36,13,24,25
Herb_Bag_60,23,26,22,15,7,14,23
Herb_Bag_61,32,23,19,19,5,12,12
Herb_Bag_62,22,21,29,0,8,9,18
Herb_Bag_63,21,12,23,0,12,19,7
Herb_Bag_64,16,13,24,27,4,6,12
Herb_Bag_65,19,20,19,32,9,22,6
