,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_1,24,15,36,8,25,12,15
Herb_Bag_2,33,10,3,30,22,36,9
Herb_Bag_3,15,25,35,6,20,13,15
Herb_Bag_4,18,20,26,14,40,28,7
Herb_Bag_5,6,13,16,16,25,19,6
Herb_Bag_6,17,20,11,20,27,14,9
Herb_Bag_7,20,17,24,7,37,20,8
Herb_Bag_8,25,20,36,0,33,25,5
Herb_Bag_9,34,10,23,13,34,14,12
Herb_Bag_10,29,20,33,11,16,16,12
Herb_Bag_11,40,21,15,7,28,25,11
Herb_Bag_12,19,14,15,10,24,10,12
Herb_Bag_13,14,25,14,19,16,13,8
Herb_Bag_14,7,13,13,31,32,26,8
Herb_Bag_15,8,8,10,21,32,24,18
Herb_Bag_16,9,15,31,4,25,12,8
Herb_Bag_17,4,27,7,30,25,10,13
Herb_Bag_18,10,15,20,27,26,17,11
Herb_Bag_19,6,22,34,12,40,38,8
Herb_Bag_20,31,22,25,33,27,21,8
Herb_Bag_21,16,16,37,39,28,36,16
Herb_Bag_22,29,8,16,15,16,38,9
Herb_Bag_23,18,15,44,12,22,12,10
Herb_Bag_24,20,13,34,0,29,26,14
Herb_Bag_25,17,19,29,16,30,19,5
Herb_Bag_26,0,12,25,10,35,36,3
Herb_Bag_27,16,25,30,18,23,21,10
Herb_Bag_28,19,13,29,0,14,31,9
Herb_Bag_29,18,18,9,2,29,19,14
Herb_Bag_30,19,16,52,28,15,13,3
Herb_Bag_31,22,27,19,6,28,9,8
Herb_Bag_32,21,12,16,18,26,0,5
Herb_Bag_33,22,16,37,29,20,7,13
Herb_Bag_34,25,22,30,14,17,23,13
Herb_Bag_35,15,26,24,17,22,23,15
Herb_Bag_36,0,22,20,18,28,0,8
Herb_Bag_37,20,10,14,28,25,23,11
Herb_Bag_38,23,11,0,19,26,34,7
Herb_Bag_39,18,18,10,7,30,16,4
Herb_Bag_40,18,18,0,8,29,25,8
Herb_Bag_41,20,15,24,15,31,12,6
Herb_Bag_42,16,15,17,11,20,7,13
Herb_Bag_43,33,11,17,2,26,26,11
Herb_Bag_44,22,19,11,11,35,13,10
Herb_Bag_45,19,21,35,12,23,14,6
Herb_Bag_46,22,17,6,18,23,11,9
Herb_Bag_47,16,28,14,12,18,26,12
Herb_Bag_48,21,20,7,17,31,2,8
Herb_Bag_49,36,18,12,11,30,31,13
Herb_Bag_50,18,29,8,9,30,41,9
Herb_Bag_51,30,24,38,18,21,18,10
Herb_Bag_52,14,18,23,24,29,35,5
Herb_Bag_53,14,21,54,14,36,10,14
Herb_Bag_54,27,23,42,14,19,20,12
Herb_Bag_55,3,20,20,29,33,37,8
Herb_Bag_56,19,18,28,17,30,16,7
Herb_Bag_57,36,7,14,18,47,13,10
Herb_Bag_58,19,14,12,8,14,19,12
Herb_Bag_59,12,20,37,23,23,18,7
Herb_Bag_60,20,14,20,13,14,9,9
Herb_Bag_61,15,14,26,12,34,12,4
Herb_Bag_62,25,15,38,0,24,27,16
Herb_Bag_63,12,17,43,30,33,19,3
Herb_Bag_64,16,26,14,23,23,36,12
Herb_Bag_65,5,20,13,27,9,47,5
Herb_Bag_66,24,7,1,16,23,7,6
Herb_Bag_67,26,11,30,16,30,23,14
Herb_Bag_68,21,12,12,24,22,2,15
Herb_Bag_69,6,7,5,25,30,8,9
Herb_Bag_70,15,15,19,15,16,24,11
Herb_Bag_71,18,19,40,14,39,29,14
Herb_Bag_72,5,12,17,13,29,8,11
Herb_Bag_73,15,17,12,18,36,37,10
Herb_Bag_74,23,8,30,11,22,19,10
Herb_Bag_75,29,16,5,11,34,26,7
Herb_Bag_76,25,13,20,12,28,24,11
Herb_Bag_77,11,16,32,13,30,9,8
Herb_Bag_78,11,15,34,17,19,27,9
Herb_Bag_79,9,31,5,0,28,5,3
Herb_Bag_80,21,20,26,18,26,25,7
Herb_Bag_81,22,15,42,5,36,23,7
Herb_Bag_82,27,16,11,11,39,18,12
Herb_Bag_83,9,16,12,5,26,15,10
Herb_Bag_84,10,12,41,9,28,14,11
Herb_Bag_85,11,21,14,18,25,30,11
Herb_Bag_86,15,15,26,14,36,24,15
Herb_Bag_87,38,16,4,15,17,15,10
Herb_Bag_88,8,14,30,15,27,8,11
Herb_Bag_89,11,9,20,10,27,22,8
Herb_Bag_90,17,17,50,4,30,9,10
Herb_Bag_91,15,19,21,13,26,24,10
Herb_Bag_92,10,18,33,29,20,9,9
Herb_Bag_93,11,20,16,16,24,18,8
Herb_Bag_94,17,29,22,15,18,23,22
Herb_Bag_95,18,13,9,4,27,12,12
Herb_Bag_96,27,13,29,1,17,15,14
Herb_Bag_97,15,14,12,16,19,31,7
Herb_Bag_98,14,12,72,10,32,27,6
Herb_Bag_99,24,13,14,15,29,20,15
Herb_Bag_100,12,24,16,12,30,41,9
Herb_Bag_101,22,20,1,3,30,22,9
Herb_Bag_102,19,0,53,19,20,23,7
Herb_Bag_103,20,20,16,16,25,10,11
Herb_Bag_104,19,19,10,24,20,22,8
Herb_Bag_105,0,21,30,14,24,26,5
Herb_Bag_106,16,26,29,8,27,21,14
Herb_Bag_107,29,19,5,27,19,20,13
Herb_Bag_108,21,23,23,12,18,3,8
Herb_Bag_109,42,10,20,29,37,30,11
Herb_Bag_110,16,12,32,9,36,24,16
Herb_Bag_111,15,24,11,22,26,16,2
Herb_Bag_112,26,10,0,7,29,33,15
Herb_Bag_113,36,13,29,33,29,38,9
Herb_Bag_114,26,18,14,22,33,33,10
Herb_Bag_115,17,19,25,13,18,10,6
Herb_Bag_116,11,10,14,9,30,20,6
Herb_Bag_117,9,30,38,12,17,13,10
Herb_Bag_118,15,17,43,14,24,20,11
Herb_Bag_119,11,26,38,17,28,31,9
Herb_Bag_120,1,24,40,19,24,18,14
Herb_Bag_121,6,17,8,14,9,1,11
Herb_Bag_122,13,18,38,13,26,12,11
Herb_Bag_123,8,22,26,14,35,14,8
Herb_Bag_124,15,7,27,24,19,33,13
Herb_Bag_125,17,13,12,0,24,15,9
Herb_Bag_126,15,14,21,20,24,16,6
Herb_Bag_127,14,19,46,10,24,30,5
Herb_Bag_128,27,20,5,30,21,5,12
Herb_Bag_129,30,18,2,4,17,24,8
Herb_Bag_130,21,25,55,12,33,33,16
Herb_Bag_131,14,11,9,24,27,27,11
Herb_Bag_132,25,14,6,16,34,20,9
Herb_Bag_133,16,18,30,29,28,25,14
Herb_Bag_134,14,14,23,23,16,13,11
Herb_Bag_135,11,17,15,13,29,20,11
Herb_Bag_136,14,15,18,22,35,19,10
Herb_Bag_137,15,20,27,9,34,0,11
Herb_Bag_138,12,19,30,6,25,2,7
Herb_Bag_139,24,15,17,18,25,21,12
Herb_Bag_140,14,26,42,25,32,29,4
Herb_Bag_141,18,10,19,12,32,18,4
Herb_Bag_142,18,30,9,28,31,31,10
Herb_Bag_143,25,20,20,12,26,16,13
Herb_Bag_144,18,19,3,6,35,21,15
Herb_Bag_145,14,8,17,27,18,35,12
Herb_Bag_146,21,14,39,17,32,15,14
Herb_Bag_147,15,17,5,18,16,41,10
Herb_Bag_148,12,13,7,13,33,7,9
Herb_Bag_149,9,18,56,16,32,19,15
Herb_Bag_150,21,15,22,20,30,21,9
Herb_Bag_151,1,14,29,4,22,7,7
Herb_Bag_152,14,23,12,9,18,12,9
Herb_Bag_153,29,16,32,11,28,10,15
Herb_Bag_154,28,24,25,10,31,30,11
Herb_Bag_155,29,15,25,11,22,0,9
Herb_Bag_156,7,18,19,19,40,24,11
Herb_Bag_157,22,7,29,16,28,42,12
Herb_Bag_158,20,18,38,18,29,29,13
Herb_Bag_159,25,9,30,10,19,26,6
Herb_Bag_160,6,20,9,7,24,12,10
Herb_Bag_161,28,10,11,6,22,9,18
Herb_Bag_162,13,19,31,25,27,23,17
Herb_Bag_163,13,20,32,19,31,1,5
Herb_Bag_164,23,16,27,4,28,19,13
Herb_Bag_165,21,19,30,9,42,24,7
Herb_Bag_166,7,19,5,12,34,43,4
Herb_Bag_167,10,15,29,24,29,23,12
Herb_Bag_168,28,26,31,12,21,7,12
Herb_Bag_169,2,29,24,36,21,3,13
Herb_Bag_170,14,17,29,29,31,25,9
Herb_Bag_171,21,24,6,11,35,34,19
Herb_Bag_172,13,20,22,17,39,27,15
Herb_Bag_173,11,26,68,10,25,24,15
Herb_Bag_174,14,13,39,17,24,22,12
Herb_Bag_175,30,30,10,15,20,28,13
Herb_Bag_176,27,13,28,13,18,15,6
Herb_Bag_177,31,19,11,12,30,14,2
Herb_Bag_178,18,13,44,1,34,15,6
Herb_Bag_179,19,30,36,8,24,22,11
Herb_Bag_180,32,11,16,9,23,16,10
Herb_Bag_181,0,23,9,5,26,10,8
Herb_Bag_182,8,23,35,0,14,13,6
Herb_Bag_183,16,12,65,5,25,21,11
Herb_Bag_184,24,18,14,13,13,20,9
Herb_Bag_185,1,23,61,7,23,18,8
Herb_Bag_186,14,18,47,17,19,11,8
Herb_Bag_187,32,24,23,14,22,12,17
Herb_Bag_188,23,8,12,23,13,0,17
Herb_Bag_189,13,13,24,6,16,9,7
Herb_Bag_190,18,20,43,10,29,0,16
Herb_Bag_191,7,21,28,11,32,22,12
Herb_Bag_192,10,25,11,12,19,16,8
Herb_Bag_193,17,13,30,19,25,24,12
Herb_Bag_194,15,19,48,2,17,30,10
Herb_Bag_195,9,20,41,38,29,46,14
