처리시설명,도로명주소,위도,경도,처리용량(톤-일별),처리공법,운영방식
수질복원센터A,세종특별자치시 금송로 612,36.46414244,127.2474356,100000,"DNR, I3",민간위탁
수질복원센터B,세종특별자치시 종합운동장로 11-13,36.55289351,127.2661255,30000,KIMAS,민간위탁
조치원,세종특별자치시 조치원읍 허만석로 98,36.59020812,127.3014455,25000,Symbio,민간위탁
전의,세종특별자치시 전의면 신송로 204,36.67275051,127.2119512,2000,산화구,민간위탁
연서,세종특별자치시 연기면 수문강길 281-27,36.54846227,127.291969,3400,HBR-Ⅱ,민간위탁
소정,세종특별자치시 소정면 대곡리 545-11,36.72773744,127.1535888,800,KSMBR,민간위탁
성제,세종특별자치시 연서면 성제리 422,36.58678458,127.2670346,520,CNR+DMR,민간위탁
운당지구,세종특별자치시 소정면 운당리 205-1,36.70734452,127.1473765,270,KSMBR,민간위탁
보덕1지구,세종특별자치시 전동면 송곡리 309-20,36.63135454,127.2723385,105,HANT,민간위탁
신정지구,세종특별자치시 전의면 신정리 567-11,36.69050378,127.2105619,70,CBT,민간위탁
감성지구,세종특별자치시 금남면 감성리 53-4,36.44218976,127.2903906,68,SMMIAR,민간위탁
검시지구,세종특별자치시 부강면 금호리 390-5,36.49367874,127.3712464,60,호기성침전지형 고도처리,민간위탁
노송지구,세종특별자치시 연동면 예양리 113-3,36.57226822,127.3239304,50,SMMIAR,민간위탁
국촌지구,세종특별자차시 연서면 국촌리 347,36.572441,127.272824,50,SMMIAR,민간위탁
달전지구,세종특별자치시 전의면 달전리 276-1,36.62581852,127.1749396,50,CBT,민간위탁
금사지구,세종특별자치시 전의면 금사리 120-6,36.60947939,127.1722741,46,고효율합병정화조,민간위탁
노장3지구,세종특별자치시 전동면 노장리 492-4,36.6665486,127.2741893,46,고효율합병정화조,민간위탁
유천지구,세종특별자치시 전의면 유천리 843-43,36.67815207,127.1751317,30,SMMIAR,민간위탁
보덕2지구,세종특별자치시 전동면 보덕리 240-1,36.64374608,127.2591601,30,HANT,민간위탁
검단지구,세종특별자치시 연서면 용암리 330,36.59016685,127.221887,20,CBT,민간위탁
미꾸지지구,세종특별자치시 연동면 예양리 20-4,36.57877645,127.3226,10,고효율합병정화조,민간위탁
산수골지구,세종특별자치시 연동면 예양리 40-4,36.57504206,127.3220068,7,고효율합병정화조,민간위탁
부강(하폐수),세종특별자치시 부강면 금호선말길 74-28,36.49717535,127.3610159,3500,표준활성슬러지법,민간위탁
등곡(가축분뇨),세종특별자치시 부강면 등곡리 509-1,36.50597956,127.3831815,120,BCS,민간위탁
국곡리,세종특별자치시 금남면 국곡리 110-3,36.4277892,127.2700785,1000,BCS,민간위탁
연동부강,세종특별자치시 연동면 태산로 71-113,36.5248667,127.3598477,3000,SBR,민간위탁
금천,세종특별자치시 금남면 금천리 371-2,36.4408279,127.3149061,35,IC-SBR,민간위탁
