적재_연월,공공하수처리시설명칭,공공하수처리 시설 위치 주소정보,하루기준 하수 처리용량,하수처리공법정보,하수처리 시설 운영방식 정보
202306,수질복원센터A,세종특별자치시금송로612,80000,DNR,민간위탁
202306,운당지구,세종특별자치시소정면운당리205-1,270,KSMBR,민간위탁
202306,신정지구,세종특별자치시전의면신정리567-11,70,CBT,민간위탁
202306,국촌지구,세종특별자차시연서면국촌리347,50,SMMIAR,민간위탁
202306,달전지구,세종특별자치시전의면달전리276-1,50,CBT,민간위탁
202306,고등지구,세종특별자치시소정면고등리325-1,70,KSMBR,민간위탁
202306,검단지구,세종특별자치시연서면용암리330,20,CBT,민간위탁
202306,감성지구,세종특별자치시금남면감성리53-4,68,SMMIAR,민간위탁
202306,유천지구,세종특별자치시전의면유천리843-43,30,SMMIAR,민간위탁
202306,노장3지구,세종특별자치시전동면노장리492-4,46,고효율합병정화조,민간위탁
202306,금사지구,세종특별자치시전의면금사리120-6,46,고효율합병정화조,민간위탁
202306,보덕2지구,세종특별자치시전동면보덕리240-1,30,HANT,민간위탁
202306,수질복원센터B,세종특별자치시종합운동장로11-13,30000,KIMAS,민간위탁
202306,보덕1지구,세종특별자치시전동면송곡리309-20,105,HANT,민간위탁
202306,금천지구,세종특별자치시금남면금천리372-2,35,IC-SBR,민간위탁
202306,조치원,세종특별자치시조치원읍허만석로98,25000,DeNiPho,민간위탁
202306,전의,세종특별자치시전의면신송로204,2000,산화구,민간위탁
202306,연서,세종특별자치시연기면수문강길281-27,3400,HBR-Ⅱ,민간위탁
202306,연동부강,세종특별자치시연동면명학리959-1,3000,BCS+BBF,민간위탁
202306,소정,세종특별자치시소정면대곡리545-11,800,KSMBR,민간위탁
202306,성제,세종특별자치시연서면성제리422,520,CNR+DMR,민간위탁
202306,산수골지구,세종특별자치시연동면예양리40-4,7,고효율합병정화조,민간위탁
202306,미꾸지지구,세종특별자치시연동면예양리20-4,10,고효율합병정화조,민간위탁
202306,노송지구,세종특별자치시연동면예양리113-3,50,SMMIAR,민간위탁
202306,검시지구,세종특별자치시부강면금호리390-5,60,호기성침전지형고도처리,민간위탁
202306,등곡(가축분뇨),세종특별자치시부강면등곡리509-1,120,BCS,민간위탁
