시도,계,산사태,급경사지,저수지-댐,자연재해위험개선지구,소규모위험시설,방재시설,경사지태양광,시특법시설,침수취약시설,사업장,해안시설,여가시설,기타
서울특별시,348,76,18,0,7,0,68,0,37,113,1,0,0,28
부산광역시,327,79,34,1,12,1,0,0,5,148,9,12,1,25
대구광역시,111,48,5,0,0,0,0,0,0,42,0,0,1,15
인천광역시,55,7,13,0,9,0,0,0,4,11,0,2,0,9
광주광역시,113,27,19,1,6,4,0,0,9,37,4,0,3,4
대전광역시,134,0,10,1,2,2,0,0,10,64,0,0,0,45
울산광역시,118,23,0,0,6,8,0,0,0,38,0,19,3,21
세종특별자치시,40,4,7,2,2,1,0,0,0,23,0,0,0,1
경기도,789,208,43,28,71,26,2,3,32,284,0,6,16,70
강원도,264,55,39,8,4,8,0,5,1,34,0,48,6,56
충청북도,244,9,15,18,19,24,0,4,0,60,0,0,10,85
충청남도,423,31,35,58,141,6,0,11,1,69,0,2,10,59
전라북도,382,29,98,18,49,25,0,6,1,44,0,17,13,82
전라남도,557,220,41,25,39,3,0,33,0,36,0,19,22,119
경상북도,482,208,88,9,13,0,0,12,3,75,3,1,16,54
경상남도,936,99,87,37,60,14,12,33,23,172,71,49,85,194
제주특별자치도,89,0,5,0,0,0,0,0,0,0,0,56,0,28
